,Compound,Date,Negative,Nuetral,Postitive,Target,Tweet Ago
231,0.0,Mon Mar 26 22:32:24 +0000 2018,0.0,1.0,0.0,@CNN,31
232,0.5994,Mon Mar 26 22:31:16 +0000 2018,0.0,0.811,0.189,@CNN,32
233,-0.296,Mon Mar 26 22:30:12 +0000 2018,0.155,0.845,0.0,@CNN,33
234,-0.2617,Mon Mar 26 22:22:31 +0000 2018,0.102,0.898,0.0,@CNN,34
235,0.0,Mon Mar 26 22:15:06 +0000 2018,0.0,1.0,0.0,@CNN,35
236,-0.3612,Mon Mar 26 22:14:02 +0000 2018,0.135,0.865,0.0,@CNN,36
237,-0.4215,Mon Mar 26 22:11:05 +0000 2018,0.203,0.797,0.0,@CNN,37
238,-0.2263,Mon Mar 26 22:05:42 +0000 2018,0.192,0.808,0.0,@CNN,38
239,-0.3612,Mon Mar 26 22:04:14 +0000 2018,0.116,0.884,0.0,@CNN,39
240,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.447,0.553,0.0,@CNN,40
241,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.202,0.798,0.0,@CNN,41
242,0.0,Mon Mar 26 23:30:14 +0000 2018,0.0,1.0,0.0,@CNN,42
243,0.0,Mon Mar 26 23:15:03 +0000 2018,0.0,1.0,0.0,@CNN,43
244,0.0,Mon Mar 26 23:10:09 +0000 2018,0.0,1.0,0.0,@CNN,44
245,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.0,0.888,0.112,@CNN,45
246,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.617,0.383,0.0,@CNN,46
247,0.0,Mon Mar 26 22:55:04 +0000 2018,0.0,1.0,0.0,@CNN,47
248,0.0,Mon Mar 26 22:45:07 +0000 2018,0.0,1.0,0.0,@CNN,48
249,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.0,0.866,0.134,@CNN,49
250,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.0,0.789,0.211,@CNN,50
251,0.0,Mon Mar 26 22:32:24 +0000 2018,0.0,1.0,0.0,@CNN,51
252,0.5994,Mon Mar 26 22:31:16 +0000 2018,0.0,0.811,0.189,@CNN,52
253,-0.296,Mon Mar 26 22:30:12 +0000 2018,0.155,0.845,0.0,@CNN,53
254,-0.2617,Mon Mar 26 22:22:31 +0000 2018,0.102,0.898,0.0,@CNN,54
255,0.0,Mon Mar 26 22:15:06 +0000 2018,0.0,1.0,0.0,@CNN,55
256,-0.3612,Mon Mar 26 22:14:02 +0000 2018,0.135,0.865,0.0,@CNN,56
257,-0.4215,Mon Mar 26 22:11:05 +0000 2018,0.203,0.797,0.0,@CNN,57
258,-0.2263,Mon Mar 26 22:05:42 +0000 2018,0.192,0.808,0.0,@CNN,58
259,-0.3612,Mon Mar 26 22:04:14 +0000 2018,0.116,0.884,0.0,@CNN,59
260,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.447,0.553,0.0,@CNN,60
261,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.202,0.798,0.0,@CNN,61
262,0.0,Mon Mar 26 23:30:14 +0000 2018,0.0,1.0,0.0,@CNN,62
263,0.0,Mon Mar 26 23:15:03 +0000 2018,0.0,1.0,0.0,@CNN,63
264,0.0,Mon Mar 26 23:10:09 +0000 2018,0.0,1.0,0.0,@CNN,64
265,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.0,0.888,0.112,@CNN,65
266,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.617,0.383,0.0,@CNN,66
267,0.0,Mon Mar 26 22:55:04 +0000 2018,0.0,1.0,0.0,@CNN,67
268,0.0,Mon Mar 26 22:45:07 +0000 2018,0.0,1.0,0.0,@CNN,68
269,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.0,0.866,0.134,@CNN,69
270,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.0,0.789,0.211,@CNN,70
271,0.0,Mon Mar 26 22:32:24 +0000 2018,0.0,1.0,0.0,@CNN,71
272,0.5994,Mon Mar 26 22:31:16 +0000 2018,0.0,0.811,0.189,@CNN,72
273,-0.296,Mon Mar 26 22:30:12 +0000 2018,0.155,0.845,0.0,@CNN,73
274,-0.2617,Mon Mar 26 22:22:31 +0000 2018,0.102,0.898,0.0,@CNN,74
275,0.0,Mon Mar 26 22:15:06 +0000 2018,0.0,1.0,0.0,@CNN,75
276,-0.3612,Mon Mar 26 22:14:02 +0000 2018,0.135,0.865,0.0,@CNN,76
277,-0.4215,Mon Mar 26 22:11:05 +0000 2018,0.203,0.797,0.0,@CNN,77
278,-0.2263,Mon Mar 26 22:05:42 +0000 2018,0.192,0.808,0.0,@CNN,78
279,-0.3612,Mon Mar 26 22:04:14 +0000 2018,0.116,0.884,0.0,@CNN,79
280,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.447,0.553,0.0,@CNN,80
281,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.202,0.798,0.0,@CNN,81
282,0.0,Mon Mar 26 23:30:14 +0000 2018,0.0,1.0,0.0,@CNN,82
283,0.0,Mon Mar 26 23:15:03 +0000 2018,0.0,1.0,0.0,@CNN,83
284,0.0,Mon Mar 26 23:10:09 +0000 2018,0.0,1.0,0.0,@CNN,84
285,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.0,0.888,0.112,@CNN,85
286,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.617,0.383,0.0,@CNN,86
287,0.0,Mon Mar 26 22:55:04 +0000 2018,0.0,1.0,0.0,@CNN,87
288,0.0,Mon Mar 26 22:45:07 +0000 2018,0.0,1.0,0.0,@CNN,88
